slug,readableName,baselineResolved,baselineQid,baselineHasEnwiki,baselineStatus,improvedResolved,improvedQid,improvedHasEnwiki,improvedStatus
abbasid-caliphate,Abbasid Caliphate,true,Q9589,true,OK,false,,false,FALLBACK
achaemenid-empire,Achaemenid Empire,true,Q11765,true,OK,true,Q389688,true,OK
almohad-caliphate,Almohad Caliphate,false,,false,FALLBACK,true,Q199688,true,OK
almoravid-dynasty,Almoravid Dynasty,false,,false,FALLBACK,true,Q75613,true,OK
andean-states-and-chiefdoms,Andean States And Chiefdoms,false,,false,FALLBACK,false,,false,FALLBACK
angevin-empire,Angevin Empire,false,,false,FALLBACK,false,,false,FALLBACK
arakan-indian-princely-state,Arakan (Indian Princely State),false,,false,FALLBACK,false,,false,FALLBACK
astrakhan-khanate,Astrakhan Khanate,false,,false,FALLBACK,true,Q210163,true,OK
austrian-empire,Austrian Empire,false,,false,FALLBACK,true,Q131964,true,OK
austro-hungarian-empire,Austro Hungarian Empire,false,,false,FALLBACK,true,Q28513,true,OK
aymara-kingdoms,Aymara Kingdoms,false,,false,FALLBACK,false,,false,FALLBACK
aztec-empire,Aztec Empire,true,Q12542,true,OK,false,,false,FALLBACK
bahmani-kingdom,Bahmani Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
batavian-republic,Batavian Republic,false,,false,FALLBACK,false,,false,FALLBACK
blue-horde,Blue Horde,false,,false,FALLBACK,false,,false,FALLBACK
bokhara-khanate,Bokhara Khanate,false,,false,FALLBACK,false,,false,FALLBACK
borgu-states,Borgu States,false,,false,FALLBACK,false,,false,FALLBACK
bosporan-kingdom,Bosporan Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
bosporian-kingdom,Bosporian Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
british-protectorate,British Protectorate,false,,false,FALLBACK,false,,false,FALLBACK
bukara-khanate,Bukara Khanate,false,,false,FALLBACK,false,,false,FALLBACK
bulgar-khanate,Bulgar Khanate,false,,false,FALLBACK,false,,false,FALLBACK
