slug,readableName,beforeResolved,beforeQid,beforeHasEnwiki,beforeStatus,afterResolved,afterQid,afterHasEnwiki,afterStatus
abbasid-caliphate,Abbasid Caliphate,true,Q9589,true,OK,true,Q9589,true,OK
achaemenid-empire,Achaemenid Empire,true,Q11765,true,OK,true,Q11765,true,OK
almohad-caliphate,Almohad Caliphate,false,,false,FALLBACK,true,Q199688,true,OK
almoravid-dynasty,Almoravid Dynasty,false,,false,FALLBACK,true,Q75613,false,OK
andean-states-and-chiefdoms,Andean States And Chiefdoms,false,,false,FALLBACK,false,,false,FALLBACK
angevin-empire,Angevin Empire,false,,false,FALLBACK,true,Q538677,false,OK
arakan-indian-princely-state,Arakan (Indian Princely State),false,,false,FALLBACK,false,,false,FALLBACK
astrakhan-khanate,Astrakhan Khanate,false,,false,FALLBACK,false,,false,FALLBACK
austrian-empire,Austrian Empire,false,,false,FALLBACK,true,Q131964,true,OK
austro-hungarian-empire,Austro Hungarian Empire,false,,false,FALLBACK,false,,false,FALLBACK
aymara-kingdoms,Aymara Kingdoms,false,,false,FALLBACK,false,,false,FALLBACK
aztec-empire,Aztec Empire,true,Q12542,false,OK,true,Q12542,false,OK
bahmani-kingdom,Bahmani Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
batavian-republic,Batavian Republic,false,,false,FALLBACK,false,,false,FALLBACK
blue-horde,Blue Horde,false,,false,FALLBACK,false,,false,FALLBACK
bokhara-khanate,Bokhara Khanate,false,,false,FALLBACK,false,,false,FALLBACK
borgu-states,Borgu States,false,,false,FALLBACK,false,,false,FALLBACK
bosporan-kingdom,Bosporan Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
bosporian-kingdom,Bosporian Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
british-protectorate,British Protectorate,false,,false,FALLBACK,false,,false,FALLBACK
bukara-khanate,Bukara Khanate,false,,false,FALLBACK,false,,false,FALLBACK
bulgar-khanate,Bulgar Khanate,false,,false,FALLBACK,false,,false,FALLBACK
burmese-kingdoms,Burmese Kingdoms,false,,false,FALLBACK,false,,false,FALLBACK
byzantine-empire,Byzantine Empire,true,Q41088,false,OK,true,Q41088,false,OK
caliphate-of-crdoba,Caliphate Of Córdoba,false,,false,FALLBACK,false,,false,FALLBACK
carolingian-empire,Carolingian Empire,true,Q150804,false,OK,true,Q150804,false,OK
carthaginian-empire,Carthaginian Empire,false,,false,FALLBACK,false,,false,FALLBACK
celtic-kingdoms,Celtic Kingdoms,false,,false,FALLBACK,false,,false,FALLBACK
central-african-republic,Central African Republic,false,,false,FALLBACK,false,,false,FALLBACK
central-asian-khanates,Central Asian Khanates,false,,false,FALLBACK,false,,false,FALLBACK
chagatai-khanate,Chagatai Khanate,false,,false,FALLBACK,false,,false,FALLBACK
