slug,sourceName,readableName,aggregate,beforeResolved,beforeQid,beforeHasEnwiki,beforeStatus,afterResolved,afterQid,afterHasEnwiki,afterStatus
abbasid-caliphate,Abbasid Caliphate,Abbasid Caliphate,false,true,Q9589,true,OK,true,Q9589,true,OK
achaemenid-empire,Achaemenid Empire,Achaemenid Empire,false,true,Q11765,true,OK,true,Q11765,true,OK
almohad-caliphate,Almohad Caliphate,Almohad Caliphate,false,false,,false,FALLBACK,false,,false,FALLBACK
almoravid-dynasty,Almoravid dynasty,Almoravid dynasty,false,false,,false,FALLBACK,false,,false,FALLBACK
andean-states-and-chiefdoms,Andean states and chiefdoms,Andean states and chiefdoms,true,false,,false,FALLBACK,false,,false,FALLBACK
angevin-empire,Angevin Empire,Angevin Empire,false,false,,false,FALLBACK,false,,false,FALLBACK
arakan-indian-princely-state,Arakan (Indian princely state),Arakan (Indian princely state),false,false,,false,FALLBACK,false,,false,FALLBACK
astrakhan-khanate,Astrakhan Khanate,Astrakhan Khanate,false,false,,false,FALLBACK,false,,false,FALLBACK
austrian-empire,Austrian Empire,Austrian Empire,false,false,,false,FALLBACK,false,,false,FALLBACK
austro-hungarian-empire,Austro-Hungarian Empire,Austro-Hungarian Empire,false,false,,false,FALLBACK,false,,false,FALLBACK
aymara-kingdoms,Aymara kingdoms,Aymara kingdoms,true,false,,false,FALLBACK,false,,false,FALLBACK
aztec-empire,Aztec Empire,Aztec Empire,false,true,Q12542,true,OK,true,Q12542,true,OK
bahmani-kingdom,Bahmani Kingdom,Bahmani Kingdom,false,false,,false,FALLBACK,false,,false,FALLBACK
batavian-republic,Batavian Republic,Batavian Republic,false,false,,false,FALLBACK,false,,false,FALLBACK
blue-horde,Blue Horde,Blue Horde,false,false,,false,FALLBACK,false,,false,FALLBACK
bokhara-khanate,Bokhara Khanate,Bokhara Khanate,false,false,,false,FALLBACK,false,,false,FALLBACK
borgu-states,Borgu States,Borgu States,false,false,,false,FALLBACK,false,,false,FALLBACK
bosporan-kingdom,Bosporan Kingdom,Bosporan Kingdom,false,false,,false,FALLBACK,false,,false,FALLBACK
bosporian-kingdom,Bosporian Kingdom,Bosporian Kingdom,false,false,,false,FALLBACK,false,,false,FALLBACK
british-protectorate,British Protectorate,British Protectorate,false,false,,false,FALLBACK,false,,false,FALLBACK
bukara-khanate,Bukara Khanate,Bukara Khanate,false,false,,false,FALLBACK,false,,false,FALLBACK
bulgar-khanate,Bulgar Khanate,Bulgar Khanate,false,false,,false,FALLBACK,false,,false,FALLBACK
burmese-kingdoms,Burmese kingdoms,Burmese kingdoms,true,false,,false,FALLBACK,false,,false,FALLBACK
byzantine-empire,Byzantine Empire,Byzantine Empire,false,true,Q41088,false,OK,true,Q41088,false,OK
caliphate-of-crdoba,Caliphate of Córdoba,Caliphate of Córdoba,false,false,,false,FALLBACK,false,,false,FALLBACK
carolingian-empire,Carolingian Empire,Carolingian Empire,false,true,Q150804,true,OK,true,Q150804,true,OK
carthaginian-empire,Carthaginian Empire,Carthaginian Empire,false,false,,false,FALLBACK,false,,false,FALLBACK
celtic-kingdoms,Celtic kingdoms,Celtic kingdoms,true,false,,false,FALLBACK,false,,false,FALLBACK
central-african-republic,Central African Republic,Central African Republic,false,false,,false,FALLBACK,false,,false,FALLBACK
central-asian-khanates,central Asian khanates,central Asian khanates,false,false,,false,FALLBACK,false,,false,FALLBACK
chagatai-khanate,Chagatai Khanate,Chagatai Khanate,false,false,,false,FALLBACK,false,,false,FALLBACK
chalukya-empire,Chalukya Empire,Chalukya Empire,false,false,,false,FALLBACK,false,,false,FALLBACK
champa-city-states,Champa City States,Champa City States,true,false,,false,FALLBACK,false,,false,FALLBACK
chim-empire,Chimú Empire,Chimú Empire,false,false,,false,FALLBACK,false,,false,FALLBACK
chola-state,Chola state,Chola state,false,false,,false,FALLBACK,false,,false,FALLBACK
city-states,city-states,city-states,true,false,,false,FALLBACK,false,,false,FALLBACK
crimean-khanate,Crimean Khanate,Crimean Khanate,false,false,,false,FALLBACK,false,,false,FALLBACK
croatian-kingdom,Croatian kingdom,Croatian kingdom,false,false,,false,FALLBACK,false,,false,FALLBACK
cuman-khanates,Cuman Khanates,Cuman Khanates,false,false,,false,FALLBACK,false,,false,FALLBACK
cuman-kipchak-confederation,Cuman-Kipchak confederation,Cuman-Kipchak confederation,false,false,,false,FALLBACK,false,,false,FALLBACK
czech-republic,Czech Republic,Czech Republic,false,false,,false,FALLBACK,false,,false,FALLBACK
dendi-kingdom,Dendi Kingdom,Dendi Kingdom,false,false,,false,FALLBACK,false,,false,FALLBACK
dominican-republic,Dominican Republic,Dominican Republic,false,false,,false,FALLBACK,false,,false,FALLBACK
duchy-of-swabia,Duchy of Swabia,Duchy of Swabia,false,false,,false,FALLBACK,false,,false,FALLBACK
dutch-republic,Dutch Republic,Dutch Republic,false,true,Q170072,true,OK,true,Q170072,true,OK
eastern-roman-empire,Eastern Roman Empire,Eastern Roman Empire,false,false,,false,FALLBACK,true,Q41088,false,OK
empire-of-alexander,Empire of Alexander,Empire of Alexander,false,false,,false,FALLBACK,true,Q8168,true,OK
empire-of-ghana,Empire of Ghana,Empire of Ghana,false,false,,false,FALLBACK,false,,false,FALLBACK
empire-of-japan,Empire of Japan,Empire of Japan,false,false,,false,FALLBACK,false,,false,FALLBACK
expansionist-kingdom-of-merina,Expansionist Kingdom of Merina,Expansionist Kingdom of Merina,false,false,,false,FALLBACK,false,,false,FALLBACK
fatimid-caliphate,Fatimid Caliphate,Fatimid Caliphate,false,false,,false,FALLBACK,false,,false,FALLBACK
first-samori-empire,First Samori Empire,First Samori Empire,false,false,,false,FALLBACK,false,,false,FALLBACK
frankish-kingdom,Frankish Kingdom,Frankish Kingdom,false,true,Q12131,true,OK,true,Q12131,true,OK
fulani-empire,Fulani Empire,Fulani Empire,false,false,,false,FALLBACK,false,,false,FALLBACK
georgian-kingdom,Georgian Kingdom,Georgian Kingdom,false,false,,false,FALLBACK,false,,false,FALLBACK
german-empire,German Empire,German Empire,false,true,Q43287,false,OK,true,Q43287,false,OK
golden-horde,Golden Horde,Golden Horde,false,true,Q131054,false,OK,true,Q131054,false,OK
grand-duchy-of-hesse,Grand Duchy of Hesse,Grand Duchy of Hesse,false,false,,false,FALLBACK,false,,false,FALLBACK
grand-duchy-of-moscow,Grand Duchy of Moscow,Grand Duchy of Moscow,false,false,,false,FALLBACK,false,,false,FALLBACK
great-khanate,Great Khanate,Great Khanate,false,false,,false,FALLBACK,false,,false,FALLBACK
greek-city-states,Greek city-states,Greek city-states,true,false,,false,FALLBACK,false,,false,FALLBACK
gupta-empire,Gupta Empire,Gupta Empire,false,true,Q188889,true,OK,true,Q188889,true,OK
hafsid-caliphate,Hafsid Caliphate,Hafsid Caliphate,false,false,,false,FALLBACK,false,,false,FALLBACK
han-empire,Han Empire,Han Empire,false,false,,false,FALLBACK,false,,false,FALLBACK
hausa-states,Hausa States,Hausa States,true,false,,false,FALLBACK,false,,false,FALLBACK
helvetic-republic,Helvetic Republic,Helvetic Republic,false,false,,false,FALLBACK,false,,false,FALLBACK
himyarite-kingdom,Himyarite Kingdom,Himyarite Kingdom,false,false,,false,FALLBACK,false,,false,FALLBACK
hindu-kingdoms,Hindu kingdoms,Hindu kingdoms,true,false,,false,FALLBACK,false,,false,FALLBACK
hindu-kingdoms-and-republics,Hindu kingdoms and republics,Hindu kingdoms and republics,true,false,,false,FALLBACK,false,,false,FALLBACK
hindu-states,Hindu states,Hindu states,false,false,,false,FALLBACK,false,,false,FALLBACK
holy-roman-empire,Holy Roman Empire,Holy Roman Empire,false,true,Q12548,false,OK,true,Q12548,false,OK
huari-empire,Huari Empire,Huari Empire,false,false,,false,FALLBACK,false,,false,FALLBACK
